"Option","Sp","IDplant","Chamber","Timehour","round","Cycle","Time10MIN","Pr","Status","BattV","Flow_mean","PAR_ext","HR_ext","T_ext","VPD_ext","Tc","HRc","PARc","VPDc","WP","E","A","Tleaf","VPDleaf","gtotal","gs","WPgroup","VPDgroup","WUE","vpc"
"3d","fag","fag01",4,2024-09-12 15:00:00,4,529.5,2024-09-12 15:00:00,930.041666666667,1,12.04,35.1631799179836,272.033333333333,43.7215416666667,22.6885416666667,15.5813807905891,26.724,50.3785,648.7,17.7808884453434,-0.0979931012856695,2.74912503604579,8.89333514402121,26.5622339298984,17.702945294194,141.982763754023,236.939175049317,"(0, -0.1 MPa)","VPD 1-2 kPa",3.23496931838829,17.7480422103042
"3d","fag","fag01",4,2024-09-13 08:00:00,4,572.5,2024-09-13 08:10:00,943.125,1,12.04,34.7551243624281,941.2,51.37575,17.08975,9.5275977053059,25.2875,53.101,792.45,15.2055981887573,-0.0979931012856695,3.08010555663722,11.9071881708871,25.4054373515023,15.4470789533524,183.63830160648,380.870702896332,"(0, -0.1 MPa)","VPD 1-2 kPa",3.86583769677267,17.1833468654391
"3d","fag","fag01",4,2024-09-13 09:00:00,4,574.5,2024-09-13 09:00:00,942.923611111111,1,12.04,34.9970688068725,1217.24166666666,45.6075,18.1210833333334,11.3662653744608,27.3675,49.3655,1038.7,18.5368304764418,-0.0979931012856695,3.8698023193347,12.779334170992,27.7037198476283,19.2581657152388,183.850066185643,381.025312821679,"(0, -0.1 MPa)","VPD 1-2 kPa",3.3023222160839,18.060472297209
"3d","fag","fag01",4,2024-09-13 10:00:00,4,577,2024-09-13 10:00:00,942.291666666667,1,12.04,34.8275410290947,1201.61666666667,39.5615555555556,19.4287777777778,13.704669589293,29.0906666666667,47.6513333333333,1034.53333333333,21.1907020026891,-0.0979931012856695,4.8294163872509,11.5740951621708,28.5918452773914,20.0830251638788,223.999139411818,664.448487290772,"(0, -0.1 MPa)",NA,2.3965825752207,19.2711635136011
"3d","fag","fag01",4,2024-09-13 11:00:00,4,579.5,2024-09-13 11:00:00,941.854166666667,1,12.04,34.8595410290947,1544.3875,38.0437333333333,20.302725,14.8227765161606,30.59625,47.778,1494.95,23.0291338435964,-0.0979931012856695,5.68575945690264,12.9228896661718,30.9691359875657,23.9669681249345,215.889912272725,561.657939625521,"(0, -0.1 MPa)",NA,2.27285198470418,21.0685134693
"3d","fag","fag01",4,2024-09-13 12:00:00,4,582,2024-09-13 12:00:00,940.847222222222,1,12.0386666666667,34.8263743624281,1627.31111111111,33.9723611111111,21.5402222222222,17.0685582508598,32.3086666666667,44.6643333333333,1535.36666666667,26.9492166053058,-0.0979931012856695,6.27935273965858,13.5150829076179,32.3874828482671,27.1347388022785,212.260402448053,621.227125279552,"(0, -0.1 MPa)",NA,2.15230509703024,21.7065671197941
"3d","fag","fag01",4,2024-09-13 13:00:00,4,584.5,2024-09-13 13:00:00,940,1,12.04,33.9738465846503,1532.65833333334,30.7427083333334,22.104125,18.5052880910804,32.4945,46.4835,1480.575,26.2859207189514,-0.0979931012856695,6.99906792853647,12.4925831467306,31.8263450000258,24.4686755142986,259.01834209478,961.438294308817,"(0, -0.1 MPa)",NA,1.78489239914304,22.8285884374204
"3d","fag","fag01",4,2024-09-13 14:00:00,4,586.5,2024-09-13 13:50:00,939.895833333333,1,12.04,34.0646799179837,1310.78333333334,29.9420833333334,21.8297916666667,18.4075398329833,32.0865,45.4945,1359.95,26.159702652506,-0.0979931012856695,6.73884860061407,12.9255035961333,31.2224406898123,23.8655099407001,255.969894578635,922.445456864079,"(0, -0.1 MPa)",NA,1.91805816722986,21.8344068458391
"3d","fag","fag01",4,2024-09-15 11:00:00,4,700,2024-09-15 11:20:00,928,1,12.04,35.1755410290948,1624.95,28.4888333333333,24.021,21.4548326622957,38.329,41.832,1511.2,39.4081595084668,-5.92919184264558,10.0599208363338,12.0436107526593,36.1943618021092,31.9814977587459,277.96182926049,1275.91022702428,"(0, -0.1 MPa)","VPD 3-4 kPa",1.19718742807209,28.3407050020318
"3d","fag","fag01",4,2024-09-15 12:00:00,4,701.5,2024-09-15 11:50:00,928.020833333333,1,12.0396666666666,35.094763251317,1617.03333333334,25.9784166666667,25.1613333333333,23.7919495814622,40.7955,35.604,1529.95,49.8538826908504,-4.61451819732257,9.57477674513587,9.42968255299417,38.7795344165245,41.9724638864651,202.331675894832,486.373630312753,"(0, -0.1 MPa)",NA,0.984846206235,27.5229518180783
"3d","fag","fag01",4,2024-09-15 13:00:00,4,704,2024-09-15 12:53:20,924.611111111111,1,12.0386666666667,35.2570410290947,1529.81111111111,23.9482777777778,26.4398888888889,26.3524168925868,40.817,35.344,1477.86666666667,50.0830231322301,-1.68661959872268,9.71298941935547,9.22143224808483,38.6211544111233,41.5397463513697,207.090577792019,526.88270140361,"(0, -0.1 MPa)",NA,0.949391773217513,27.3531179301628
"3d","fag","fag01",4,2024-09-15 14:00:00,4,706.5,2024-09-15 13:50:00,923.25,1,12.033,35.1714576957614,1155.15833333333,19.3198333333333,27.1165,29.086425906585,40.624,36.7645,1333.7,48.4722579977427,-0.634978091517312,10.7767777626209,10.7699159731074,37.7247854022284,37.4329631035866,252.381259308879,871.514342427636,"(0, -0.1 MPa)","VPD 3-4 kPa",0.999363280039294,28.1626976673488
"3d","fag","fag01",4,2024-09-16 12:00:00,5,11,2024-09-16 12:10:00,922,1,12.0396666666667,35.6325550561287,1165.78333333333,27.802,26.87,25.6576455581566,40.045,40.317,1563.7,44.3324949346822,-12.9001720470328,10.9123519759347,12.7672933591191,37.6733271755304,35.4404522604543,269.212765006622,1110.28204613533,"(0, -0.1 MPa)","VPD 3-4 kPa",1.16998547950755,29.9474422914663
"3d","fag","fag01",4,2024-09-16 13:00:00,5,12.5,2024-09-16 12:50:00,921.166666666667,1,12.04,34.4190550561287,1114.325,27.3965833333333,27.1685,26.2634927177543,37.9855,41.3675,1146.2,38.9931514539595,-12.7291017774363,9.19132915696326,12.4717616735223,35.3912118232738,30.2074265189259,267.34526255176,1079.78540161839,"(0, -0.1 MPa)","VPD 3-4 kPa",1.35690512879455,27.5106062624816
"3d","fag","fag01",4,2024-09-16 14:00:00,5,15,2024-09-16 13:50:00,919.888888888889,1,12.0376666666667,34.1750550561287,856.616666666667,28.0786666666667,28.1746666666667,27.5879055449522,37.17,38.095,738.7,39.3865072774562,-12.4995823591734,6.7538407651432,11.4338905489752,34.4709071241025,30.6134179396749,194.218988645294,428.271931426499,"(0, -0.1 MPa)","VPD 3-4 kPa",1.69294642064792,24.237605924153
